source_file | category | chunks | text_chunks | table_chunks | image_chunks | total_chars
-------------------------------------------------------------------------------------------------------------
10S_SW_ZCCCTSOperation_Manual1.pdf | PVD | 909 | 687 | 222 | 0 | 903180
10S_SW_ZCCCTSOperation_Manual.pdf | PVD | 892 | 674 | 218 | 0 | 902005
15t-1_Press_Handler.pdf | PVD | 295 | 157 | 138 | 0 | 290032
15t_2_3_Press_Handler.pdf | PVD | 217 | 81 | 136 | 0 | 229118
16t-1_Press_Handler.pdf | PVD | 219 | 80 | 139 | 0 | 230023
16t-5_Press_Handler.pdf | PVD | 219 | 81 | 138 | 0 | 163522
16t-5_Press_Handler_-.pdf | PVD | 104 | 44 | 60 | 0 | 113826
17_20_Manual.pdf | PVD | 145 | 82 | 63 | 0 | 163783
1._Manual_Packing_Machine.pdf | PVD | 249 | 215 | 34 | 0 | 208170
1.PVD_Loading_Automation_1_Manual.pdf | PVD | 308 | 156 | 152 | 0 | 361570
1_Sintering_Sorter_Manual.pdf | PVD | 141 | 77 | 64 | 0 | 199218
1._User_Manual_CVD_Loading_MC.pdf | PVD | 155 | 70 | 85 | 0 | 104185
1._User_Manual_CVD_Unloading_MC.pdf | PVD | 145 | 84 | 61 | 0 | 97565
1. User Manual (Honing Inspection).pdf |  | 63 | 44 | 19 | 0 | 52291
1._User_Manual_Honing_Inspection.pdf | PVD | 69 | 50 | 19 | 0 | 54987
1._User_Manual_Insert_Inspection_Machine.pdf | PVD | 214 | 105 | 109 | 0 | 313258
1. User Manual (Insert Re-palleting Robot).pdf |  | 238 | 129 | 109 | 0 | 324052
1._User_Manual_Insert_Re-palleting_Robot.pdf | PVD | 236 | 130 | 106 | 0 | 322402
1._User_Manual_Keyence_Insert_Inspection.pdf | PVD | 210 | 109 | 101 | 0 | 148754
1. User Manual(LASER MARKING).pdf |  | 168 | 59 | 109 | 0 | 188211
1._User_Manual_LASER_MARKING.pdf | PVD | 164 | 59 | 105 | 0 | 186687
1._User_Manual_Packing_Machine.pdf | PVD | 134 | 60 | 74 | 0 | 80003
1._User_Manual_Packing_Machine_real.pdf | PVD | 146 | 57 | 89 | 0 | 125386
1._User_Manual_Press_Handler_MC_3.pdf | PVD | 178 | 112 | 66 | 0 | 219683
1. User Manual (Press Handler MC #3).pdf |  | 178 | 112 | 66 | 0 | 220217
1._User_Manual_Press_Handler_MC_4_5.pdf | PVD | 178 | 112 | 66 | 0 | 220231
1. User Manual (Press Handler MC #4,5).pdf |  | 178 | 112 | 66 | 0 | 220765
1._User_manual_Press_Handler_MC_93aac6.pdf | PVD | 133 | 66 | 67 | 0 | 125761
1._User_Manual_Press_Handler_MC.pdf | PVD | 214 | 123 | 91 | 0 | 298278
1._User_Manual_PVD_Loading_956ad4.pdf | PVD | 226 | 106 | 120 | 0 | 150278
1._User_Manual_PVD_Loading_MC.pdf | PVD | 151 | 78 | 73 | 0 | 98818
1._User_Manual_PVD_Loading.pdf | PVD | 211 | 105 | 106 | 0 | 133620
1._User_Manual_PVD_Unloading_MC.pdf | PVD | 168 | 74 | 94 | 0 | 141979
1._User_Manual_Sintering_Sorter_Handling_MC.pdf | PVD | 236 | 133 | 103 | 0 | 319445
200415_PVD_1_Handler_Manual.docx | PVD | 128 | 36 | 92 | 0 | 105970
200814_PVD_2_Handler_Manual.docx | PVD | 126 | 34 | 92 | 0 | 104161
2017.06.15_Sintering_Sorter_Maintenance.pdf | PVD | 33 | 9 | 24 | 0 | 58613
20201005_PVD_Handler_Manual_Chinese.pdf | PVD | 218 | 98 | 120 | 0 | 227562
20t-4_Press_Handler.pdf | PVD | 110 | 51 | 59 | 0 | 180604
25t-3_Press_Handler.pdf | PVD | 209 | 87 | 122 | 0 | 145646
2.PVD_Loading_Automation_Coating_Tower_1_Manual.pdf | PVD | 163 | 65 | 98 | 0 | 187388
2_Sintering_Sorter_Manual.pdf | PVD | 233 | 134 | 99 | 0 | 361780
2UnitManual_d18ba9.pdf | PVD | 246 | 155 | 91 | 0 | 242431
2UnitManual.pdf | PVD | 44 | 33 | 11 | 0 | 15508
3.PVD_Unloading_Automation_1_Manual.pdf | PVD | 169 | 64 | 105 | 0 | 147522
3Unit_SW_Manual.pdf | PVD | 264 | 143 | 121 | 0 | 285541
4.PVD_Unloading_Automation_Coating_Tower_1_Manual.pdf | PVD | 163 | 65 | 98 | 0 | 187735
Axis_SorterManual.pdf | PVD | 1664 | 1109 | 555 | 0 | 931836
Axis_Unit_Manual.pdf | PVD | 172 | 78 | 94 | 0 | 129639
Case_Packaging_Maintenance-1.pdf | PVD | 57 | 10 | 47 | 0 | 109125
Case_Packaging_Manual.pdf | PVD | 3 | 2 | 1 | 0 | 1087
Ceratizit_F1Inspection_Maintenance.pdf | PVD | 81 | 33 | 48 | 0 | 150210
Ceratizit_F1Inspection_Manual_603c66.pdf | PVD | 205 | 136 | 69 | 0 | 134917
Ceratizit_F1Inspection_Manual_b0f891.pdf | PVD | 227 | 136 | 91 | 0 | 226253
Ceratizit_F1Inspection_Manual.pdf | PVD | 225 | 132 | 93 | 0 | 212126
Ceratizit_SW_PVD_Loading_Manual_222.pdf | PVD | 162 | 68 | 94 | 0 | 124144
Ceratizit_SW_PVD_Loading_Manual.docx | PVD | 244 | 58 | 186 | 0 | 611051
Ceratizit_SW_PVD_Loading_Manual_Final.pdf | PVD | 186 | 68 | 118 | 0 | 168503
Ceratizit_SW_PVD_Unloading_Manual.pdf | PVD | 180 | 66 | 114 | 0 | 157248
Chinese_Huarui_CVD_2_User_Manual.pdf | PVD | 377 | 200 | 177 | 0 | 387011
confluence-CM/9364471949-미쓰비시 메뉴얼 | Confluence_CM | 1 | 1 | 0 | 0 | 17
confluence-CM/9365291054-CS 이력 & Manual 홈 | Confluence_CM | 1 | 1 | 0 | 0 | 547
confluence-CM/9507143776-PackingMachine | Confluence_CM | 1 | 1 | 0 | 0 | 29
confluence-CM/9507143787-포장기 사내 셋업 메뉴얼 | Confluence_CM | 1 | 1 | 0 | 0 | 27
confluence-CM/9507143798-원점 설정 | Confluence_CM | 2 | 2 | 0 | 0 | 1532
confluence-CM/9507144074-I_O 체크 | Confluence_CM | 1 | 1 | 0 | 0 | 440
confluence-CM/9507144138-작업 위치 세팅 | Confluence_CM | 1 | 1 | 0 | 0 | 78
confluence-CM/9507144149-Magazine | Confluence_CM | 1 | 1 | 0 | 0 | 107
confluence-CM/9507144188-Pallet(packing machine) | Confluence_CM | 2 | 2 | 0 | 0 | 998
confluence-CM/9507144336-Inkjet | Confluence_CM | 1 | 1 | 0 | 0 | 242
confluence-CM/9507144380-Laser | Confluence_CM | 1 | 1 | 0 | 0 | 151
confluence-CM/9507144423-CaseFeeder | Confluence_CM | 2 | 2 | 0 | 0 | 1031
confluence-CM/9507144546-CaseAssy | Confluence_CM | 2 | 2 | 0 | 0 | 1025
confluence-CM/9507144690-Labeling | Confluence_CM | 1 | 1 | 0 | 0 | 17
confluence-CM/9507144748-Small Label | Confluence_CM | 1 | 1 | 0 | 0 | 449
confluence-CM/9507144811-Large Label | Confluence_CM | 1 | 1 | 0 | 0 | 574
confluence-CM/9507144889-Unloading | Confluence_CM | 1 | 1 | 0 | 0 | 218
confluence-CM/9507144967-SideLaser | Confluence_CM | 3 | 3 | 0 | 0 | 2098
confluence-CM/9507145150-파일 세팅 | Confluence_CM | 1 | 1 | 0 | 0 | 11
confluence-CM/9507145161-포장기_팔레트 파일 | Confluence_CM | 1 | 1 | 0 | 0 | 21
confluence-CM/9507145172-포장기_케이스 파일 | Confluence_CM | 2 | 2 | 0 | 0 | 1328
confluence-CM/9507145220-- 케이스 원점 설정 | Confluence_CM | 1 | 1 | 0 | 0 | 441
confluence-CM/9507145329-- 수량검출1 영역설정 | Confluence_CM | 1 | 1 | 0 | 0 | 25
confluence-CM/9507145340-- 수량검출2 영역설정 | Confluence_CM | 1 | 1 | 0 | 0 | 25
confluence-CM/9507145351-Calibration | Confluence_CM | 1 | 1 | 0 | 0 | 23
confluence-CM/9507145362-1. 팔레트 위에서 카메라와 그리퍼간 위치 보정 | Confluence_CM | 2 | 2 | 0 | 0 | 967
confluence-CM/9507145476-2. 케이스 위에서 카메라와 그리퍼간 위치 보정 | Confluence_CM | 2 | 2 | 0 | 0 | 1128
confluence-CM/9507145594-- 컨베이어 픽업 위치 보정 | Confluence_CM | 2 | 2 | 0 | 0 | 1116
confluence-CM/9507145717-- H1과 H2의 카메라 간격 측정 | Confluence_CM | 1 | 1 | 0 | 0 | 450
confluence-CM/9507145776-추가 확인 사항 | Confluence_CM | 1 | 1 | 0 | 0 | 483
confluence-CM/9507145830-라벨 프린터 참고 자료 | Confluence_CM | 1 | 1 | 0 | 0 | 143
confluence-CM/9507145863-한국야금 포장기 #3 작업 절차서 | Confluence_CM | 1 | 1 | 0 | 0 | 37
confluence-CM/9507145874-캘리브레이션 - 한국야금 포장기 #3 | Confluence_CM | 2 | 2 | 0 | 0 | 971
confluence-CM/9507145988-DIJET 포장기 #1 작업 절차서 | Confluence_CM | 1 | 1 | 0 | 0 | 39
confluence-CM/9507145999-자동 작업 준비 - 도구 준비 - DIJET 포장기 #1 | Confluence_CM | 3 | 3 | 0 | 0 | 2165
confluence-CM/9507146473-자동 작업 준비 - HMI 준비 - DIJET 포장기 #1 | Confluence_CM | 1 | 1 | 0 | 0 | 552
confluence-CM/9507146587-자동 작업 - DIJET 포장기 #1 | Confluence_CM | 1 | 1 | 0 | 0 | 108
confluence-CM/9507146776-티칭 작업 - DIJET 포장기 #1 | Confluence_CM | 2 | 2 | 0 | 0 | 1302
confluence-CM/9507147065-수동 작업 - DIJET 포장기 #1 | Confluence_CM | 2 | 2 | 0 | 0 | 1126
confluence-CM/9507147228-캘리브레이션 - DIJET 포장기 #1 | Confluence_CM | 1 | 1 | 0 | 0 | 257

... 외 1561건 (총 1661건)
